binary_name,dependency_name
libimp_nbt_sys_stringcollation.so,libicuuc.so.46
libimp_nbt_sys_stringcollation.so,libcpp-ne.so.4
libimp_nbt_sys_stringcollation.so,libc.so.3
libimp_sys_most_base_nbt.cpp-ne.so.17,libsys_colibry.cpp-ne.so.7
libimp_sys_most_base_nbt.cpp-ne.so.17,libsys_trace_clienttrace.cpp-ne.so.7
libimp_sys_most_base_nbt.cpp-ne.so.17,libsys_dsi_trace.cpp-ne.so.6
libimp_sys_most_base_nbt.cpp-ne.so.17,libsys_dsi_colibry.cpp-ne.so.8
libimp_sys_most_base_nbt.cpp-ne.so.17,libsys_colibry_net.cpp-ne.so.7
libimp_sys_most_base_nbt.cpp-ne.so.17,libsys_dsi_servicebroker.cpp-ne.so.4
libimp_sys_most_base_nbt.cpp-ne.so.17,libsocket.so.3
libimp_sys_most_base_nbt.cpp-ne.so.17,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
libimp_sys_most_base_nbt.cpp-ne.so.17,libwdgadapter.so.1
libimp_sys_most_base_nbt.cpp-ne.so.17,libheartbeat.so.3
libimp_sys_most_base_nbt.cpp-ne.so.17,libbacktrace.so.1
libimp_sys_most_base_nbt.cpp-ne.so.17,libcpp-ne.so.4
libimp_sys_most_base_nbt.cpp-ne.so.17,libc.so.3
libio_trace.so,libc.so.3
libipgrabber.so,libc.so.3
libKD_X.cpp-ne.so,libilmClient.cpp-ne.so.1
libKD_X.cpp-ne.so,libcommunication.cpp-ne.so
libKD_X.cpp-ne.so,libbacktrace.so.1
libKD_X.cpp-ne.so,libcpp-ne.so.4
libKD_X.cpp-ne.so,libc.so.3
libKD_X.gpp.so,libilmClient.gpp.so.1
libKD_X.gpp.so,libcommunication.gpp.so
libKD_X.gpp.so,libbacktrace.so.1
libKD_X.gpp.so,libstdc++.so.6
libKD_X.gpp.so,libm.so.2
libKD_X.gpp.so,libc.so.3
libmalloc_backtrace.so,libbacktrace.so.1
libmalloc_backtrace.so,libc.so.3
libmalloc_efence.so,libc.so.3
libmalloc_stats.so,libc.so.3
